Marke,Modell,Beschreibung,Gewicht
Magirus,170D12 A,"Fahrzeug o. Aufbau, 200 l Kraftstoff, inkl. 1 Person, 8,25R20 Zwillingsbereifung, Winde (Auslieferungszustand, o. Ersatzrad) ca. 5420 kg. Nach Umbau (Räder, Tanks, Isolierung, Federn, Sitze, …) 6200 kg",5420
Magirus,192D11 FA,"4x4-Fahrgestell ohne Pumpe mit Leerkoffer (TK/Pritsche), 8.25er Reifen, 180 l Zusatztank, Kanisterhalterungen, Staukästen und Dachträger (ca.)",6800
Magirus,130M7 FAL,"der mit den Portalachsen, als RW1 mit Aufbau hinten Fa. Voll, vordere Jalousie ausgeräumt, Dachzelt, 12.5R20, Campingklo mit 16 l Frischwasser, voller Tank, 12 kW Stromaggregat mit Lichtmast und 5t-Winde",6040
Magirus,90M6.0F (Magirus-Deutz),"kurze Variante mit Feuerwehraufbau, aber ohne feuerwehrtechnische Beladung, vollgetankt (56 l) und unbesetzt",3500
Magirus,S 7500 Jupiter (Magirus-Deutz),"4,8 m / 5,4 m Radstand, Fahrgestell-Gewicht 4650/4700 kg",4650
Magirus,Saturn 145-L / S 5500 (Magirus-Deutz),Fahrgestell-Gewicht,3740
Magirus,FM170D11FA,"ohne Winde mit 12.00x22,5 Singlebereifung, Reserverad, Hilfsrahmen mit Traversen für FM2-Shelter, ca. 200 l im Tank",5500
Magirus,Mercur 125A10,"als SKW, org. Koffer leer bis auf Mannschaftskabine, Leiter und Reserverad auf dem Dach, vollgetankt, TÜV gewogen",5500
Magirus,Mercur 150D10,"große Doka, nur Fahrgestell ohne Aufbau, Tank halbvoll",4850
MAN,8.136f 2x4,"5 m Fahrgestell, originale 8,5R17,5 Zwillingsbereifung, knapp unter 3 t (mit ""flat"" 3,3 t, 80 l Tank voll, mit Fahrer und Ersatzrad)",2950
MAN,8.150 FAE,"3,1 m, nur Fahrgestell und 100 l Diesel, ziemlich genau",4000
MAN,8.150 FAE,"3,1 m mit Pritsche (ohne Bordwände) und dänischem Koffer leer, mit 5x 365/80R20, selbst gewogen",5480
MAN,8.136 FAE,"3,1 m Radstand, mit 100 l Diesel und leerem US-Shelter",4700
MAN,9.150,"mit Kabine, 2 Ersatzrädern, 200 l Diesel und 300 l Wasser",6400
MAN,9.150 FAE,"Fahrgestell nackt, 3,5 m",4700
MAN,8.150 FAE,"3,1 m inkl. Zwischenrahmen, auf 12,5R20",4700
MAN,8.220 TGL,Doppelkabine mit Feder-Hilfsrahmen,4895
MAN,10.220,"mit längerem Fahrerhaus, Radstand 3260 mm (etwa)",4800
MAN,10.220,"mit langem Fahrerhaus, 3900 mm Radstand, 395/85R20 und 500 l Diesel",5250
MAN,10.220,"kurzes FH, Meiller Kipper, Radstand 2910 mm, AP-Achsen, einzelbereift 335/80/20",5500
MAN,11.168 HA-LF,"mit Tank u. Pumpe, aber ohne sonstige Beladung (TLF-Hütte)",6840
MAN,11.168 HA-LF16,"9-Mann-Kabine, Metz-Aufbau Alu, Zwillingsreifen, Vorbaupumpe",6500
MAN,11.192 HALF,ohne Rüstwagentonne aber mit 20 KVA + hydr. Winde (ca.),5550
MAN,TGM 13.290 BL,"kurzes Fhs, 3950 mm Radstand, Fahrgestell nackt, einfachbereift, 4340 kg; mit Aufbau 540 cm reisefertig 10.500 kg",4340
MAN,TGM 13.290 BB,"mittleres Fahrerhaus, Radstand 3900 mm, Fahrgestell nackt, einfachbereift, Stahlstoßstange etc., 14R20",6654
MAN,TGM 13.290 BB,"mittleres Fahrerhaus, Radstand 4200 mm, 14R20",6306
MAN,14.224 LAK L80,"ohne Kipperaufbau, mit original Zwillingsbereifung",5150
MAN,14.280,"mittellanges Fahrerhaus, Radstand 4200 mm, Rahmenüberhang ab Mitte HA 2400 mm, Zwillingsbereifung (lt. MAN)",5530
